"age","workclass","fnlwgt","education","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
23,"Private",203139,"Some-college",10,"Never-married","Other-service","Other-relative","White","Female",0,0,40,"United-States","<=50K"
23,"Private",373628,"Bachelors",13,"Never-married","Other-service","Own-child","White","Female",0,0,20,"United-States","<=50K"
29,"Private",242597,"Bachelors",13,"Never-married","Tech-support","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
37,"Private",301070,"HS-grad",9,"Divorced","Farming-fishing","Unmarried","White","Male",0,0,45,"United-States","<=50K"
19,"Private",145844,"Assoc-acdm",12,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,50,"United-States","<=50K"
48,"Self-emp-not-inc",397466,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States","<=50K"
39,"Private",225605,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,24,"United-States","<=50K"
47,"Self-emp-not-inc",172034,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,75,"United-States",">50K"
41,"Self-emp-inc",397280,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,72,NA,"<=50K"
38,"Local-gov",223004,"Some-college",10,"Divorced","Protective-serv","Not-in-family","White","Male",0,0,75,"United-States","<=50K"
41,"Private",184378,"HS-grad",9,"Separated","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
38,"Private",73471,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States","<=50K"
24,"Private",403671,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States","<=50K"
45,"Private",1366120,"Assoc-voc",11,"Divorced","Other-service","Not-in-family","White","Female",0,0,8,"United-States","<=50K"
22,"Private",48988,"Some-college",10,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
19,"Private",311974,"HS-grad",9,"Never-married","Craft-repair","Other-relative","White","Male",0,0,25,"Mexico","<=50K"
29,"Private",342989,"HS-grad",9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
29,"Private",134890,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States",">50K"
31,"Private",69056,"HS-grad",9,"Divorced","Other-service","Own-child","White","Female",0,0,15,"United-States","<=50K"
44,"Private",286750,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,40,"United-States","<=50K"
59,"Self-emp-not-inc",75804,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,65,"United-States",">50K"
31,"Private",157078,"10th",6,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
42,"Self-emp-inc",161532,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,60,"United-States","<=50K"
19,"Private",69151,"9th",5,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,25,"United-States","<=50K"
26,"Local-gov",197530,"Masters",14,"Married-spouse-absent","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
19,NA,52114,"Some-college",10,"Never-married",NA,"Own-child","White","Female",0,0,10,"United-States","<=50K"
31,"State-gov",78291,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
17,"Private",52486,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,12,"United-States","<=50K"
54,"Private",308087,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,18,"United-States",">50K"
42,"Local-gov",281315,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
50,"Federal-gov",186272,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
29,"Local-gov",419722,"Assoc-acdm",12,"Never-married","Adm-clerical","Not-in-family","White","Male",3674,0,40,"United-States","<=50K"
26,"Private",238367,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K"
40,"Private",119493,"Some-college",10,"Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"United-States","<=50K"
45,"Private",187666,"Assoc-voc",11,"Widowed","Exec-managerial","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
34,"Private",110476,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"United-States","<=50K"
33,"Private",111746,"Assoc-acdm",12,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"Portugal","<=50K"
